"","congressperson_name","state","party","total_net_value","subquota_description","supplier","year"
"10557","LINDOMAR GARÇON","RO","PRB",3000,"Publicity of parliamentary activity","REDE DE COMUNICAÇÃO CIDADE LTDA",2015
"10558","LIRA MAIA","PA","DEM",4990,"Publicity of parliamentary activity","GRÁFICA MENDES",2009
"10559","LOBBE NETO","SP","PSDB",2520,"Publicity of parliamentary activity","CELSO FERNANDO ALVES DE FREITAS & CIA. LTDA. - ME",2017
"10560","LUCENIRA PIMENTEL","AP","PR",3000,"Publicity of parliamentary activity","CRIAÇÃO PUBLICIDADE E PROPAGANDA LTDA",2009
"10561","LUCIANA COSTA","SP","PR",5550,"Publicity of parliamentary activity","ANA RITA BERNARDES - ME",2009
"10562","LUCIANA GENRO","RS","PSOL",1380,"Publicity of parliamentary activity","RML GRÁFICA",2010
"10563","LUCIANO CASTRO","RR","PR",800,"Publicity of parliamentary activity","JCA LEITÃO-JULIO CESAR AMERICO LEITAO ME",2011
"10564","LUIS CARLOS HEINZE","RS","PP",200,"Publicity of parliamentary activity","IBARO SANTOS RODRIGUES 34117750097",2017
"10565","LUIZ ALBERTO","BA","PT",400,"Publicity of parliamentary activity","RADIO EMISSORA DE ALAGOINHAS ME",2011
"10566","LUIZ BASSUMA","BA","PV",140,"Publicity of parliamentary activity","CLICK INTERATIVO",2010
"10567","LUIZ BITTENCOURT","GO","PMDB",7900,"Publicity of parliamentary activity","GRAFOPEL",2009
"10568","LUIZ CARLOS BUSATO","RS","PTB",18735,"Publicity of parliamentary activity","TEMPO GRAFICA",2015
"10569","LUIZ CARLOS HAULY","PR","PSDB",420,"Publicity of parliamentary activity","GP SISTEMAS E SERVIÇOS LTDA",2015
"10570","LUIZ CARLOS SETIM","PR","DEM",2000,"Publicity of parliamentary activity","ASS. DE MORADORES DO JD. AVIAÇÃO E MARIA CECILIA",2009
"10571","LUIZ CARREIRA","BA","DEM",710,"Publicity of parliamentary activity","MAGIC DIGITAL HOSP. E DESENV. WEB",2009
"10572","LUIZ COUTO","PB","PT",6350,"Publicity of parliamentary activity","MS - GRÁFICA E EDITORA LTDA.",2012
"10573","LUIZ FERNANDO FARIA","MG","PP",1700,"Publicity of parliamentary activity","FR EMPRESA JORNALÍSTICA",2017
"10574","LUIZ PAULO VELLOZO LUCAS","ES","PSDB",7200,"Publicity of parliamentary activity","FABRICA DE IDEIAS LTDA-ME",2010
"10575","LUIZ SÉRGIO","RJ","PT",22400,"Publicity of parliamentary activity","NOVA AMITAF ARTES GRAFICAS LTDA - ME",2015
"10576","LUIZA ERUNDINA","SP","PSOL",204.9,"Publicity of parliamentary activity","LOCAWEB SERVIÇOS DE INTERNET",2015
"10577","LUPÉRCIO RAMOS","AM","PMDB",6000,"Publicity of parliamentary activity","COMPUGRAF FORMULÁRIOS LTDA",2010
"10578","MAGELA","DF","PT",5850,"Publicity of parliamentary activity","VILMA BRAGA DA SILVA EPP (EXTREMA PROPAGANDA)",2014
"10579","MAIA FILHO","PI","PP",10000,"Publicity of parliamentary activity","Prefeitura Municipal de Teresina",2015
"10580","MAJOR FÁBIO","PB","PROS",800,"Publicity of parliamentary activity","WSCOM COMUNICAÇÕES LTDA",2013
"10581","MANOEL JUNIOR","PB","PMDB",12000,"Publicity of parliamentary activity","JOSELY FERNANDA DO NASCIMENTO",2015
"10582","MANOEL SALVIANO","CE","PSD",4600,"Publicity of parliamentary activity","COMPASSO COMUNICAÇÃO E MARKETING LTDA.",2011
"10583","MANUELA D'ÁVILA","RS","PCdoB",360,"Publicity of parliamentary activity","O DIARIO",2011
"10584","MARÇAL FILHO","MS","PMDB",500,"Publicity of parliamentary activity","ATIVA FM",2010
"10585","MARCELO ALMEIDA","PR","PMDB",18740,"Publicity of parliamentary activity","NQM COMUNICAÇÃO LTDA",2013
"10586","MARCELO CASTRO","PI","PMDB",7500,"Publicity of parliamentary activity","3MKT ASSESSORIA E COMUNICAÇÃO, PRODUÇÕES E PLANEJAMENTO LTDA-ME",2015
"10587","MARCELO GUIMARÃES FILHO","BA","PMDB",2300,"Publicity of parliamentary activity","ARTES GRÁFICAS DO NORDESTE LTDA",2009
"10588","MARCELO ITAGIBA","RJ","PSDB",2500,"Publicity of parliamentary activity","THOMPSON E SOUZA COMUNICAÇÃO LTDA",2009
"10589","MARCELO MELO","GO","PMDB",2000,"Publicity of parliamentary activity","MEIRELES E RORIZ COMUNICAÇÃO LTDA",2009
"10590","MARCELO ORTIZ","SP","PV",4780,"Publicity of parliamentary activity","DIGITAL PRINT",2010
"10591","MARCELO SERAFIM","AM","PSB",6860,"Publicity of parliamentary activity","TAPE PUBLICIDADE LTDA",2009
"10592","MARCELO TEIXEIRA","CE","PR",10000,"Publicity of parliamentary activity","LS PUBLICIDADE,PROPAGANDA E PRODUÇÃO DE VIDEO LTDA",2010
"10593","MÁRCIO FRANÇA","SP","PSB",3980,"Publicity of parliamentary activity","GRÁFICA E EDITORA DIÁRIO DO LITORAL",2009
"10594","MARCIO JUNQUEIRA","RR","PROS",2500,"Publicity of parliamentary activity","SISTEMA BOA VISTA DE COMUNICAÇÃO LTDA",2009
"10595","MÁRCIO MARINHO","BA","PRB",2000,"Publicity of parliamentary activity","INCINE VIDEO LTDAME",2015
"10596","MARCIO REINALDO MOREIRA","MG","PP",6000,"Publicity of parliamentary activity","MULTIMÍDIA",2010
"10597","MARCO MAIA","RS","PT",1300,"Publicity of parliamentary activity","LISTACOMERCIAL COMUNICAÇÃO E DIVULGAÇÃO",2009
"10598","MARCONDES GADELHA","PB","PSC",2000,"Publicity of parliamentary activity","ARTS TEXTOS",2009
"10599","MARCOS ANTONIO","PE","PRB",3000,"Publicity of parliamentary activity","SAIUKEZE LTDA",2009
"10600","MARCOS MEDRADO","BA","PODE",10000,"Publicity of parliamentary activity","KIKO BRINDES LTDA.",2010
"10601","MARCOS MONTES","MG","PSD",2000,"Publicity of parliamentary activity","EDITORA  JORNALISTICA UBERABA",2014
"10602","MARIA DO ROSÁRIO","RS","PT",78.3,"Publicity of parliamentary activity","LIFES CREATIVE TECNOLOGIA LTDA",2016
"10603","MARIA HELENA","RR","PSB",790,"Publicity of parliamentary activity","TR 21 FOTOGRAFIAS LTDA-ME",2015
"10604","MARIA LÚCIA CARDOSO","MG","PMDB",2912,"Publicity of parliamentary activity","GRAFIMINAS COMUNICAÇÃO VISUAL LTDA. - ME",2009
"10605","MARINHA RAUPP","RO","PMDB",10122,"Publicity of parliamentary activity","lees mídia e comunicação",2017
"10606","MÁRIO DE OLIVEIRA","MG","PSC",51700,"Publicity of parliamentary activity","GRÁFICA CORES VIVAS LTDA",2012
"10607","MÁRIO HERINGER","MG","PDT",300,"Publicity of parliamentary activity","PERFIL COMUNICAÇÃO E PUBLICIDADE LTDA",2015
"10608","MÁRIO NEGROMONTE","BA","PP",25000,"Publicity of parliamentary activity","ARTES GRÁFICAS DO NORDESTE LTDA",2014
"10609","MAURÍCIO QUINTELLA LESSA","AL","PR",43000,"Publicity of parliamentary activity","ALTAIR DOS SANTOS MASCARENHAS",2015
"10610","MAURÍCIO RANDS","PE","PT",5500,"Publicity of parliamentary activity","MARIA AUXILIADORA SEQUEIRA DOS ANJOS",2010
"10611","MAURÍCIO TRINDADE","BA","PROS",235,"Publicity of parliamentary activity","LISTWEB COMUNICAÇÃO & TI",2010
"10612","MAURO BENEVIDES","CE","PMDB",1500,"Publicity of parliamentary activity","BRASÍLIA COMUNICAÇÃO E PUBLICIDADE",2016
"10613","MAURO LOPES","MG","PMDB",1000,"Publicity of parliamentary activity","GM-EMP. JORNALÍSTICA LTDA",2013
"10614","MAURO MARIANI","SC","PMDB",3800,"Publicity of parliamentary activity","O ESTADO GRÁFICA-EDITORA LTDA  - ME",2012
"10615","MAURO NAZIF","RO","PSB",465,"Publicity of parliamentary activity","SISNETTI - INTEGRADORA DE SOLUÇÕES",2009
"10616","MENDES RIBEIRO FILHO","RS","PMDB",10227,"Publicity of parliamentary activity","DIARIO SERVIÇOS",2009
"10617","MENDONÇA PRADO","SE","DEM",2712,"Publicity of parliamentary activity","INTERATIVE AGENCIA DIGITAL LTDA - ME.",2013
"10618","MIGUEL CORRÊA","MG","PT",11145,"Publicity of parliamentary activity","PAMPULHA EDITORA GRÁFICA LTDA",2011
"10619","MIGUEL MARTINI","MG","PHS",15660,"Publicity of parliamentary activity","GRÁFICA E EDITORA DANIELI LTDA",2010
"10620","MILTON BARBOSA","BA","PSC",8000,"Publicity of parliamentary activity","XEQUE MATE",2010
"10621","MILTON MONTI","SP","PR",509.47,"Publicity of parliamentary activity","MAXISITE COM DIGITAL LTDA",2017
"10622","MILTON VIEIRA","SP","DEM",3300,"Publicity of parliamentary activity","PÚBLICO INFORMATICA LTDA ME",2010
"10623","MOACIR MICHELETTO","PR","PMDB",1500,"Publicity of parliamentary activity","IVAIPORÃ FM 100,7 - IVAIPORÃ",2011
"10624","MOISES AVELINO","TO","PMDB",800,"Publicity of parliamentary activity","PORTAL CT COMUNICAÇÃO LTDA",2009
"10625","MOREIRA MENDES","RO","PSD",4500,"Publicity of parliamentary activity","SISTEMA JOVEM DE COMUNICAÇÃO LTDA",2012
"10626","NARCIO RODRIGUES","MG","PSDB",3000,"Publicity of parliamentary activity","M&D COMUNICAÇÃO E ARTE LTDA",2009
"10627","NATAN DONADON","RO","S.PART.",1000,"Publicity of parliamentary activity","I.LAURENTINO",2012
"10628","NAZARENO FONTELES","PI","PT",7150,"Publicity of parliamentary activity","GRAFICA DO POVO",2009
"10629","NEILTON MULIM","RJ","PR",14400,"Publicity of parliamentary activity","G 9 SIGN BRINDES E GRÁFICA LTDA.",2009
"10630","NELSON BORNIER","RJ","PMDB",18000,"Publicity of parliamentary activity","MARWIC ARTES GRÁFICAS LTDA   -  ME",2011
"10631","NELSON GOETTEN","SC","PR",3000,"Publicity of parliamentary activity","RADIO MIRADOR LTDA",2009
"10632","NELSON MARQUEZELLI","SP","PTB",200,"Publicity of parliamentary activity","ANTÔNIO CARLOS P DA S SÃO JOSÉ DO RIO PARDO - EPP",2011
"10633","NELSON MEURER","PR","PP",5000,"Publicity of parliamentary activity","EDITORA JORNAL DE BELTRÃO S/A",2014
"10634","NELSON PELLEGRINO","BA","PT",550,"Publicity of parliamentary activity","PARLABRASIL EIRELI - ME",2017
"10635","NELSON PROENÇA","RS","PPS",3500,"Publicity of parliamentary activity","FMC COMUNICAÇÕES E CONSULTORIA",2009
"10636","NELSON TRAD","MS","PMDB",9000,"Publicity of parliamentary activity","FORMATTO SOLUÇOES GRAFICAS",2009
"10637","NEUDO CAMPOS","RR","PP",1500,"Publicity of parliamentary activity","M.L.FERREIRA DOS SANTOS",2010
"10638","NICE LOBÃO","MA","PSD",5000,"Publicity of parliamentary activity","G & S COMERCIAL S.R.S. ALMEIDA",2009
"10639","NILMAR RUIZ","TO","PEN",443.04,"Publicity of parliamentary activity","RÁDIO PADRE LUSO LTDA",2009
"10640","NILSON MOURAO","AC","PT",8250,"Publicity of parliamentary activity","A. J. A. BARBOSA - ME",2009
"10641","NILSON PINTO","PA","PSDB",4800,"Publicity of parliamentary activity","D & E COMUNICAÇÃO E IMAGEM LTDA.",2010
"10642","ODAIR CUNHA","MG","PT",900,"Publicity of parliamentary activity","FUNDAÇÃO ODILON REZENDE ANDRADE",2010
"10643","ODELMO LEÃO","MG","PP",350,"Publicity of parliamentary activity","BATUKI PRODUÇÕES LTDA",2015
"10644","ODÍLIO BALBINOTTI","PR","PMDB",1500,"Publicity of parliamentary activity","EDITORA CENTRAL LTDA.",2009
"10645","OLAVO CALHEIROS","AL","PMDB",15000,"Publicity of parliamentary activity","JOSÉ  JONATHA   DA SILVA   ME",2010
"10646","ONYX LORENZONI","RS","DEM",315,"Publicity of parliamentary activity","MABECONS CONSULTORIA E REPRESENTAÇÕES LTDA",2012
"10647","OSMAR JÚNIOR","PI","PCdoB",15.06,"Publicity of parliamentary activity","PAULO EDUARDO P. IRINEU",2010
"10648","OSMAR SERRAGLIO","PR","PMDB",14800,"Publicity of parliamentary activity","SS COMUNICACAO E MARKETING LTDA",2016
"10649","OSMAR TERRA","RS","PMDB",39.9,"Publicity of parliamentary activity","CENTRAL SERVER INFORMATICA LTDA",2015
"10650","OSVALDO BIOLCHI","RS","PMDB",3300,"Publicity of parliamentary activity","GESTOR POLÍTICO",2009
"10651","OSVALDO REIS","TO","PMDB",4000,"Publicity of parliamentary activity","ARUN.COM.BR",2013
"10652","OTAVIO LEITE","RJ","PSDB",4887.5,"Publicity of parliamentary activity","META MARKETING E EVENTOS",2009
"10653","PAES DE LIRA","SP","PTC",1430,"Publicity of parliamentary activity","LTJ EDITORA GRAFICA LTDA",2010
"10654","PAES LANDIM","PI","PTB",3500,"Publicity of parliamentary activity","JOSE ALMEIDA ROCHA - ME",2013
"10655","PASTOR MANOEL FERREIRA","RJ","PR",42534.8,"Publicity of parliamentary activity","NOVO RUMO SERVIÇOS GRÁFICOS LTDA",2010
"10656","PASTOR PEDRO RIBEIRO","CE","PR",5075,"Publicity of parliamentary activity","QUAXO CONSULTORIA E ASSESSORIA LTDA -ME",2009
"10657","PAULO ABI-ACKEL","MG","PSDB",10000,"Publicity of parliamentary activity","CLÁUDIA CAMPOLINA ASSESSORIA DE COMUNICAÇÕES LTDA",2016
"10658","PAULO BORNHAUSEN","SC","PSB",907.8,"Publicity of parliamentary activity","MUNDI EDITORA LTDA",2009
"10659","PAULO DELGADO","MG","PT",4500,"Publicity of parliamentary activity","BRASDEV - DESENVOLVEDORES LTDA",2009
"10660","PAULO HENRIQUE LUSTOSA","CE","PP",2000,"Publicity of parliamentary activity","W.J Mendes de Camargos Interativa Eireli - ME",2016
"10661","PAULO MAGALHÃES","BA","PSD",2500,"Publicity of parliamentary activity","M DA S CAZUQUEL DESENVOLVIMENTO WEB - ME",2015
"10662","PAULO MALUF","SP","PP",240,"Publicity of parliamentary activity","Superteia Informática Ltda ME",2013
"10663","PAULO PEREIRA DA SILVA","SP","SD",6000,"Publicity of parliamentary activity","Editora Comunicação LTDA",2017
"10664","PAULO PIAU","MG","PMDB",1000,"Publicity of parliamentary activity","AGÊNCIA EDISON CASTÊNCIO",2009
"10665","PAULO PIMENTA","RS","PT",9400,"Publicity of parliamentary activity","IMPRESUL SERVIÇO GRAVFICO E EDITORA LTDA",2012
"10666","PAULO RATTES","RJ","PMDB",20000,"Publicity of parliamentary activity","ESCALA GRÁFICA",2009
"10667","PAULO RENATO SOUZA","SP","PSDB",4700,"Publicity of parliamentary activity","TCQP INFORMAÇÃO E COMUNICAÇÃO LTDA-ME",2011
"10668","PAULO ROCHA","PA","PT",24500,"Publicity of parliamentary activity","STEPHANIE GRAFICA E EDITORA JC STEPHANIE LTDA-ME",2010
"10669","PAULO RUBEM SANTIAGO","PE","PDT",51000,"Publicity of parliamentary activity","CLR GRAFICA LTDA",2014
"10670","PAULO TEIXEIRA","SP","PT",15800,"Publicity of parliamentary activity","dircurso direto ensino e comunicaçao ltda me",2015
"10671","PEDRO CHAVES","GO","PMDB",2150,"Publicity of parliamentary activity","DECOM COMUNICAÇÃO & MARKETING LTDA",2011
"10672","PEDRO EUGÊNIO","PE","PT",534.34,"Publicity of parliamentary activity","MIX TECNOLOGIA LTDA",2014
"10673","PEDRO FERNANDES","MA","PTB",8000,"Publicity of parliamentary activity","ALPHAVILLE IMPRESSOS E EDITORA LTDA",2009
"10674","PEDRO HENRY","MT","PP",2500,"Publicity of parliamentary activity","CASA D IDEIAS MARKETING & PROPAGANDA LTDA.",2012
"10675","PEDRO NOVAIS","MA","PMDB",1800,"Publicity of parliamentary activity","F BORGES ERVIÇOS E COMUNICAÇÃO",2013
"10676","PEDRO WILSON","GO","PT",5500,"Publicity of parliamentary activity","AGSL",2009
"10677","PEPE VARGAS","RS","PT",178.48,"Publicity of parliamentary activity","RADIO EDITORA ASSESSORE LTDA",2009
"10678","PERPÉTUA ALMEIDA","AC","PCdoB",3000,"Publicity of parliamentary activity","T.S. Alves de Oliveira - ME",2014
"10679","PINTO ITAMARATY","MA","PSDB",19250,"Publicity of parliamentary activity","A. ANDRADE LIMA - ME",2011
"10680","POMPEO DE MATTOS","RS","PDT",2070,"Publicity of parliamentary activity","VIDEOMAKER PRODUTORA LTDA",2015
"10681","PROFESSOR RUY PAULETTI","RS","PSDB",7000,"Publicity of parliamentary activity","LORINGRAF GRÁFICA E EDITORA LTDA",2011
"10682","PROFESSOR SETIMO","MA","PMDB",600,"Publicity of parliamentary activity","JP WEB SOLUÇÕES PARA INTERNET LTDA-ME",2011
"10683","PROFESSOR VICTÓRIO GALLI","MT","PSC",18500,"Publicity of parliamentary activity","MWR PUBLICIDADE E SERVIÇOS LTDA.",2016
"10684","PROFESSORA RAQUEL TEIXEIRA","GO","PSDB",7610,"Publicity of parliamentary activity","3 MILENIUM PROPA E MARKETING LTDA - ME",2009
"10685","RAFAEL GUERRA","MG","PSDB",10114,"Publicity of parliamentary activity","PAPALUKIM",2011
"10686","RAIMUNDO GOMES DE MATOS","CE","PSDB",550,"Publicity of parliamentary activity","PARLABRASIL EIRELI - ME",2016
"10687","RATINHO JUNIOR","PR","PSC",7100,"Publicity of parliamentary activity","GRAFICA CAPITAL",2014
"10688","RAUL HENRY","PE","PMDB",550,"Publicity of parliamentary activity","S X BRASIL COMUNICAÇÃO DIGITAL LTDA",2012
"10689","RAUL JUNGMANN","PE","PPS",15000,"Publicity of parliamentary activity","AGENCIA PLA DE COMUNICAÇÃO E EVENTO LTDA",2015
"10690","REBECCA GARCIA","AM","PP",2565,"Publicity of parliamentary activity","GH COMUNICAÇÃO GRÁFICA LTDA.",2009
"10691","REGINALDO LOPES","MG","PT",159,"Publicity of parliamentary activity","GRÁFICA E EDITORA EXPRESSA LTDA ME",2011
"10692","RÉGIS DE OLIVEIRA","SP","PSC",9000,"Publicity of parliamentary activity","FMC COMUNICAÇÕES E CONSULTORIA",2009
"10693","RENATO AMARY","SP","PSDB",1000,"Publicity of parliamentary activity","INOVATY COMUNICACAO",2010
"10694","RENATO MOLLING","RS","PP",400,"Publicity of parliamentary activity","ASSOCIAÇÃO AMIGOS DE CAMPO BOM",2013
"10695","RIBAMAR ALVES","MA","PSB",2300,"Publicity of parliamentary activity","ALCWEB AGÊNCIA DIGITAL",2011
"10696","RICARDO BARROS","PR","PP",30000,"Publicity of parliamentary activity","DUGRAFI EDITORA GRÁFICA LTDA",2010
"10697","RICARDO BERZOINI","SP","PT",70,"Publicity of parliamentary activity","CDR DESIGNTECNOLOGIA LTDA",2014
"10698","RICARDO QUIRINO","DF","PRB",580,"Publicity of parliamentary activity","LINHA DIRETA GRAFICA EDITORA E COMUNICAÇÕES LTDA",2011
"10699","RICARDO TRIPOLI","SP","PSDB",7000,"Publicity of parliamentary activity","MACLEAN ARTES GRAFICAS LTDA-ME",2017
"10700","RITA CAMATA","ES","PSDB",424,"Publicity of parliamentary activity","MUZIK INFORMÁTICA E PROM EV LTDA ME",2010
"10701","ROBERTO ALVES","SP","PRB",2000,"Publicity of parliamentary activity","InCine Video Ltda - ME",2016
"10702","ROBERTO BALESTRA","GO","PP",5000,"Publicity of parliamentary activity","ARAUJO E PRADO COMUNICACAO E PROPAGANDA LTDA - ME",2017
"10703","ROBERTO BRITTO","BA","PP",1516.92,"Publicity of parliamentary activity","MA MACEDO GRAFICA E EDITORA",2011
"10704","ROBERTO MAGALHÃES","PE","DEM",4410,"Publicity of parliamentary activity","GRAVO PAPERS",2009
"10705","ROBERTO ROCHA","MA","PSDB",1800,"Publicity of parliamentary activity","LISTA COMERCIAL COMUNICAÇÃO E DIVULGAÇÃO",2009
"10706","ROBERTO SANTIAGO","SP","PSD",490,"Publicity of parliamentary activity","COMUNIQUE-SE COMUNICAÇÃO CORPORATIVA",2011
"10707","ROCHA LOURES","PR","PMDB",6066.66,"Publicity of parliamentary activity","BINWORKS DESIGN GRÁFICO LTDA",2009
"10708","RODRIGO DE CASTRO","MG","PSDB",280,"Publicity of parliamentary activity","HOLLO INTERACT AGENCIA WEB LTDA",2016
"10709","RODRIGO MAIA","RJ","DEM",6000,"Publicity of parliamentary activity","B5 ESTRATEGIA E MARKETING LTDA",2014
"10710","RODRIGO ROLLEMBERG","DF","PSB",570,"Publicity of parliamentary activity","LIBERIUN",2010
"10711","ROGERIO LISBOA","RJ","DEM",7500,"Publicity of parliamentary activity","RODA VIVA LTDA",2009
"10712","ROGÉRIO MARINHO","RN","PSDB",5000,"Publicity of parliamentary activity","IMPRESSÃO GRÁFICA E EDITORA LTDA",2017
"10713","RÔMULO GOUVEIA","PB","PSD",7500,"Publicity of parliamentary activity","RAINHA PUBLICIDADE E PROPAGANDA LTDA.",2010
"10714","RONALDO CAIADO","GO","DEM",87,"Publicity of parliamentary activity","LOCAWEB",2009
"10715","ROSE DE FREITAS","ES","PMDB",9402,"Publicity of parliamentary activity","FREDERICO PEIXOTO ALENCAR ITABAIANA-ME",2009
"10716","RUBENS OTONI","GO","PT",6000,"Publicity of parliamentary activity","Ana Gabriela de Jesus Oliveira Luiz & Cia Ltda - Publica Marketing Digital",2015
"10717","SABINO CASTELO BRANCO","AM","PTB",6500,"Publicity of parliamentary activity","R.A COMÉRCIO E SERVIÇOS GRÁFICOS LTDA",2009
"10718","SANDES JÚNIOR","GO","PP",95000,"Publicity of parliamentary activity","L. L. GRAFICA E EDITORA LTDA",2012
"10719","SANDRA ROSADO","RN","PSB",650,"Publicity of parliamentary activity","C. Q. ORGANIZAÇÃO GRÁFICA E EDITORIAL LTDA.",2012
"10720","SANDRO MABEL","GO","PMDB",2421.6,"Publicity of parliamentary activity","GRÁFICA AMAZONAS E EDITORA LTDA",2009
"10721","SARAIVA FELIPE","MG","PMDB",3000,"Publicity of parliamentary activity","MARIA DE LOURDES S.LISBOA",2011
"10722","SARNEY FILHO","MA","PV",16800.01,"Publicity of parliamentary activity","ALPHA GRAFICA E EDITORA",2013
"10723","SEBASTIÃO BALA ROCHA","AP","SD",7200,"Publicity of parliamentary activity","MUNDIMÍDIA OUTDOOR",2010
"10724","SÉRGIO BARRADAS CARNEIRO","BA","PT",2200,"Publicity of parliamentary activity","ARTS PRODUÇÃO DE TEXTOS E EVENTOS LTDA",2012
"10725","SÉRGIO BRITO","BA","PSD",10000,"Publicity of parliamentary activity","INCLINE",2011
"10726","SÉRGIO MORAES","RS","PTB",30,"Publicity of parliamentary activity","R&P Empreendimentos Alimentícios LTDA",2015
"10727","SÉRGIO PETECÃO","AC","PMN",400,"Publicity of parliamentary activity","R.A. GOMES",2010
"10728","SEVERIANO ALVES","BA","PMDB",2000,"Publicity of parliamentary activity","LISTA COMERCIAL COMUNICAÇÃO E DIVULGAÇÃO",2010
"10729","SILAS BRASILEIRO","MG","PMDB",500,"Publicity of parliamentary activity","ALEX GUIMARÃES MACHADO",2010
"10730","SILAS CÂMARA","AM","PRB",13999.7,"Publicity of parliamentary activity","DUPLIFOLHA GRÁFICA",2017
"10731","SILVIO COSTA","PE","AVANTE",5500,"Publicity of parliamentary activity","EDITORA PARADOX ZERO EIRELI ME",2017
"10732","SILVIO LOPES","RJ","PSDB",5000,"Publicity of parliamentary activity","GRÁFICA RESENDE",2009
"10733","SILVIO TORRES","SP","PSDB",3360,"Publicity of parliamentary activity","DACTILOS AGENCIA DE NOTICIAS LTDA",2010
"10734","SIMÃO SESSIM","RJ","PP",11951.7,"Publicity of parliamentary activity","FACTOTUM & FACTOTUM ASSESSORIA Ltda",2016
"10735","SOLANGE ALMEIDA","RJ","PMDB",14000,"Publicity of parliamentary activity","ESCALA GRÁFICA",2011
"10736","SOLANGE AMARAL","RJ","DEM",8696.44,"Publicity of parliamentary activity","GRÁFICA EDITORA STAMPPA LTDA",2009
"10737","SUELI VIDIGAL","ES","PDT",5000,"Publicity of parliamentary activity","GRAFICA SAMORINI LTDA",2009
"10738","TADEU FILIPPELLI","DF","PMDB",3500,"Publicity of parliamentary activity","WERNER STUDIO DE CRIAÇÃO GRÁFICA LTDA ME.",2009
"10739","TAKAYAMA","PR","PSC",8000,"Publicity of parliamentary activity","DIRECT VOICE SOLUÇÕES SERVIÇOS NEGÓCIOS MARKETING",2012
"10740","THELMA DE OLIVEIRA","MT","PSDB",3000,"Publicity of parliamentary activity","VIRTÚ ANÁLISE E ESTRATÉGIA LTDA",2009
"10741","THEMISTOCLES SAMPAIO","PI","PMDB",5000,"Publicity of parliamentary activity","SISTEMA TIMON DE RÁDIO DIFUSÃO LTDA.",2011
"10742","TONHA MAGALHÃES","BA","PR",9222.25,"Publicity of parliamentary activity","BAQUEIRO E BOMFIM ADVOGADOS ASSOCIADOS",2010
"10743","ULDURICO PINTO","BA","PHS",13960,"Publicity of parliamentary activity","GRÁFICA CRIATIVA",2010
"10744","URZENI ROCHA","RR","PSD",8000,"Publicity of parliamentary activity","RWA NEGREIROS JUNIOR ME",2013
"10745","VADÃO GOMES","SP","PP",1500,"Publicity of parliamentary activity","NOTIBRAS-JORNAL DA QUADRA",2009
"10746","VALADARES FILHO","SE","PSB",3000,"Publicity of parliamentary activity","ALÔ SERGIPE CONSULTORIA, ASSESSORIA, PUBLICIDADE E MARKETING",2017
"10747","VALDIR COLATTO","SC","PMDB",129,"Publicity of parliamentary activity","LOCAWEB SERVIÇOS DE INTERNET S A",2013
"10748","VALTENIR PEREIRA","MT","PSB",18000,"Publicity of parliamentary activity","AGIMAR GONZAGA MONTEIRIO MEI",2016
"10749","VANDER LOUBET","MS","PT",500,"Publicity of parliamentary activity","VIZION GESTÃO DE NEGOCIOS EMPRESÁRIAIS LTDA",2012
"10750","VANDERLEI MACRIS","SP","PSDB",500,"Publicity of parliamentary activity","MARCELO LOPES GUARALDO",2012
"10751","VANESSA GRAZZIOTIN","AM","PCdoB",2000,"Publicity of parliamentary activity","GOPWEC COMUNICAÇÃO VISUAL",2009
"10752","VELOSO","BA","PMDB",2500,"Publicity of parliamentary activity","A REGIÃO EDITORA LTDA.",2009
"10753","VIC PIRES FRANCO","PA","DEM",10500,"Publicity of parliamentary activity","MIDIA MAIS",2009
"10754","VICENTE ARRUDA","CE","PDT",20000,"Publicity of parliamentary activity","GRAFICA MINERVA",2010
"10755","VICENTINHO","SP","PT",90,"Publicity of parliamentary activity","QUALY COPIADORA",2012
"10756","VIEIRA DA CUNHA","RS","PDT",10000,"Publicity of parliamentary activity","IMPRESUL SERVIÇO GRAVFICO E EDITORA LTDA",2014
"10757","VIGNATTI","SC","PT",950,"Publicity of parliamentary activity","CORREIO LAGEANO",2009
"10758","VILSON COVATTI","RS","PP",230,"Publicity of parliamentary activity","IMAGINIS AG. COM. DIGITAL",2011
"10759","VINICIUS CARVALHO","SP","PRB",2500,"Publicity of parliamentary activity","PIERO BRUNO BEZERRA QUITES",2017
"10760","VIRGILIO GUIMARAES","MG","PT",300,"Publicity of parliamentary activity","IMPACTO MULTIMÍDIA COM. E LOCAÇÃO DE EQUIPAMENTOS",2009
"10761","VITAL DO REGO FILHO","PB","PMDB",2500,"Publicity of parliamentary activity","ESTADO COMUNICAÇÃO MIDIA E ARTES",2010
"10762","VITOR PENIDO","MG","DEM",1000,"Publicity of parliamentary activity","CENTRAL DE TELECOMUNICAÇÕES LTDA",2009
"10763","WALDEMIR MOKA","MS","PMDB",400,"Publicity of parliamentary activity","FÁTIMA NEWS - ROGÉRIO S. DO AMARAL E CIA ME",2009
"10764","WALDIR MARANHÃO","MA","AVANTE",9390,"Publicity of parliamentary activity","TAKE COMUNICAÇÃO & MARKETING LTDA",2011
"10765","WALTER IHOSHI","SP","PSD",3000,"Publicity of parliamentary activity","ORBIIT BUSINESS INTELLIGENCE LTDA",2013
"10766","WANDENKOLK GONÇALVES","PA","PSDB",1000,"Publicity of parliamentary activity","carajas rede de comunicação ltda",2013
